  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
 101     118.27       3956.09        2115841323        1883961840     64     64    15604634    98879810    98879810    13839898    13839898    13839898    13839898 
 102     102.29       3448.59        1883961840        1669103161     64     64    13839898    86995118    86995118    12213700    12213700    12213700    12213700 
 103      91.23       3055.50        1669103161        1470959070     64     64    12213700    76129650    76129650    10722312    10722312    10722312    10722312 
 104      87.27       2707.95        1470959070        1289607145     64     64    10722312    66258980    66258980     9364650     9364650     9364650     9364650 
 105      72.21       2377.77        1289607145        1124452663     64     64     9364650    57348062    57348062     8134518     8134518     8134518     8134518 
 106      68.22       2086.66        1124452663         975206349     64     64     8134518    49354870    49354870     7028256     7028256     7028256     7028256 
 107      60.19       1827.17         975206349         841001196     64     64     7028256    42230224    42230224     6038102     6038102     6038102     6038102 
 108      57.20       1608.34         841001196         721247609     64     64     6038102    35920870    35920870     5158608     5158608     5158608     5158608 
 109      54.20       1419.92         721247609         614900183     64     64     5158608    30369354    30369354     4381086     4381086     4381086     4381086 
 110      46.18       1235.77         614900183         521219436     64     64     4381086    25517142    25517142     3699168     3699168     3699168     3699168 
 111      45.23       1083.68         521219436         439099690     64     64     3699168    21303964    21303964     3103900     3103900     3103900     3103900 
 112      38.20        965.46         439099690         367697485     64     64     3103900    17670696    17670696     2588552     2588552     2588552     2588552 
 113      36.22        852.79         367697485         305889908     64     64     2588552    14558820    14558820     2144542     2144542     2144542     2144542 
 114      35.18        760.77         305889908         252836197     64     64     2144542    11912428    11912428     1765284     1765284     1765284     1765284 
 115      34.19        681.39         252836197         207511995     64     64     1765284     9677698     9677698     1442898     1442898     1442898     1442898 
 116      28.17        600.98         207511995         169148025     64     64     1442898     7804740     7804740     1171392     1171392     1171392     1171392 
 117      27.16        552.10         169148025         136835163     64     64     1171392     6246434     6246434      943828      943828      943828      943828 
 118      26.18        504.53         136835163         109895091     64     64      943828     4960162     4960162      754976      754976      754976      754976 
 119      26.17        464.13         109895091          87552915     64     64      754976     3906634     3906634      599036      599036      599036      599036 
 120      26.26        423.75          87552915          69215433     64     64      599036     3050964     3050964      471630      471630      471630      471630 
 121      25.17        391.34          69215433          54235166     64     64      471630     2361646     2361646      368052      368052      368052      368052 
 122      28.20        367.60          54235166          42141214     64     64      368052     1811398     1811398      284844      284844      284844      284844 
 123      25.17        348.32          42141214          32427358     64     64      284844     1375936     1375936      218318      218318      218318      218318 
 124      24.15        330.11          32427358          24729976     64     64      218318     1034720     1034720      165822      165822      165822      165822 
 125      24.16        316.96          24729976          18661165     64     64      165822      769848      769848      124608      124608      124608      124608 
 126      24.16        301.43          18661165          13944737     64     64      124608      566458      566458       92714       92714       92714       92714 
 127      24.20        286.66          13944737          10297112     64     64       92714      411830      411830       68154       68154       68154       68154 
 128      24.15        277.61          10297112           7523167     64     64       68154      295744      295744       49564       49564       49564       49564 
 129      24.20        261.38           7523167           5420686     64     64       49564      209508      209508       35548       35548       35548       35548 
