  It       Time      CPU Time            ReadIO           WriteIO  MTask  RTask    MapInRec   MapOutRec    ComInRec   ComOutRec    RedInRec   RedOutRec      Spills 
  90      18.09         29.94          64297905          48617761      4      4       36068      149570      149570       26736       26736       26736       26736 
  91      17.08         25.88          48617761          36195804      4      4       26736      107984      107984       19523       19523       19523       19523 
  92      17.09         22.71          36195804          26537976      4      4       19523       76680       76680       14039       14039       14039       14039 
  93      16.10         20.21          26537976          19128735      4      4       14039       53504       53504        9924        9924        9924        9924 
  94      15.08         17.37          19128735          13539472      4      4        9924       36620       36620        6892        6892        6892        6892 
  95      15.10         15.76          13539472           9406826      4      4        6892       24542       24542        4691        4691        4691        4691 
  96      15.08         14.26           9406826           6402195      4      4        4691       16074       16074        3126        3126        3126        3126 
  97      15.10         12.72           6402195           4246078      4      4        3126       10272       10272        2034        2034        2034        2034 
  98      15.09         12.07           4246078           2741530      4      4        2034        6374        6374        1290        1290        1290        1290 
  99      15.15         10.12           2741530           1716542      4      4        1290        3838        3838         793         793         793         793 
 100      15.08          9.20           1716542           1039881      4      4         793        2218        2218         472         472         472         472 
 101      15.26          7.84           1039881            602770      4      4         472        1232        1232         269         269         269         269 
 102      15.10          7.66            602770            337522      4      4         269         650         650         148         148         148         148 
 103      14.09          6.94            337522            176450      4      4         148         324         324          76          76          76          76 
 104      14.10          6.51            176450             84954      4      4          76         144         144          36          36          36          36 
 105      14.10          6.26             84954             38352      4      4          36          60          60          16          16          16          16 
 106      14.10          6.03             38352             14693      4      4          16          20          20           6           6           6           6 
